,date,close,open,max,min,volume,returnsOpenPrev
0,12/06/2019,98320.88,98959.59,99239.5,97831.0,5100000.0,-0.006500000000000001
1,11/06/2019,98960.0,97466.69,98984.6,97466.69,5080000.0,0.015300000000000001
2,10/06/2019,97466.69,97827.62,97856.0,96782.23,3690000.0,-0.0036
3,07/06/2019,97821.26,97204.85,98325.57,97204.85,3830000.0,0.0063
4,06/06/2019,97204.85,96001.79,97461.97,96001.79,4179999.9999999995,0.0126
5,05/06/2019,95998.75,97381.37,97686.14,95685.84,3890000.0,-0.014199999999999999
6,04/06/2019,97380.28,97020.1,97722.88,96593.43,4430000.0,0.0037
7,03/06/2019,97020.48,97035.78,97756.75,96429.88,4690000.0,-0.0001
8,31/05/2019,97030.32,97419.73,97992.31,96792.4,5250000.0,-0.0044
9,30/05/2019,97457.36,96565.54,97939.08,96510.53,4530000.0,0.0092
10,29/05/2019,96566.55,96388.66,96985.83,95689.78,4700000.0,0.0018
11,28/05/2019,96392.76,94863.04,96551.8,94706.7,6580000.0,0.0161
12,27/05/2019,94864.25,93625.7,95444.04,93625.7,2620000.0,0.0132
13,24/05/2019,93627.8,93912.05,94899.52,93545.46,3590000.0,-0.003
14,23/05/2019,93910.03,94360.1,94546.68,93299.97,3900000.0,-0.0048
15,22/05/2019,94360.66,94485.43,95211.75,93882.56,4360000.0,-0.0013
16,21/05/2019,94484.63,91945.56,94572.55,91945.56,5560000.0,0.0276
17,20/05/2019,91946.19,90005.81,92116.51,89822.25,4760000.0,0.0217
18,17/05/2019,89992.73,90023.41,91320.54,89408.93,5510000.0,-0.0004
19,16/05/2019,90024.47,91621.82,91621.82,89778.11,5740000.0,-0.0175
20,15/05/2019,91623.44,92087.83,92087.83,90294.63,4940000.0,-0.0051
21,14/05/2019,92092.44,91736.48,92528.53,91562.45,4170000.0,0.004
22,13/05/2019,91726.54,94252.49,94252.49,91599.97,4810000.0,-0.0269
23,10/05/2019,94257.56,94809.0,94847.83,93234.12,4220000.0,-0.0058
24,09/05/2019,94807.85,95596.61,95596.61,93883.23,4280000.0,-0.0083
25,08/05/2019,95596.61,94388.56,96311.89,94388.56,5070000.0,0.0128
26,07/05/2019,94388.73,95008.66,95008.66,92749.7,5060000.0,-0.006500000000000001
27,06/05/2019,95008.66,95991.51,95991.51,94539.99,3320000.0,-0.0104
28,03/05/2019,96007.89,95520.64,96314.61,95520.64,4139999.9999999995,0.005
29,02/05/2019,95527.62,96339.31,96339.31,95311.67,3980000.0,-0.0086
30,30/04/2019,96353.33,96191.45,96706.71,95613.24,4360000.0,0.0017000000000000001
31,29/04/2019,96187.75,96253.53,97123.09,96003.57,3330000.0,-0.0005
32,26/04/2019,96236.04,96552.15,96563.2,95620.12,3880000.0,-0.0033
33,25/04/2019,96552.03,95026.88,96552.03,94212.77,5030000.0,0.0159
34,24/04/2019,95045.43,95923.48,95923.48,94163.33,4800000.0,-0.0092
35,23/04/2019,95923.24,94590.49,96315.4,94590.49,4440000.0,0.0141
36,22/04/2019,94588.06,94577.82,95037.9,93720.5,3270000.0,0.0001
37,18/04/2019,94578.26,93285.33,95140.29,93285.33,5090000.0,0.0139
38,17/04/2019,93284.75,94336.78,95041.78,92337.54,6660000.0,-0.0111
39,16/04/2019,94333.31,93082.09,95061.95,92878.99,4720000.0,0.0134
40,15/04/2019,93082.97,92874.83,93722.86,92697.05,4770000.0,0.0022
41,12/04/2019,92875.0,94746.92,94768.18,92516.32,6930000.0,-0.019799999999999998
42,11/04/2019,94754.7,95953.9,95953.9,94173.36,3640000.0,-0.0125
43,10/04/2019,95953.45,96291.79,96902.14,95669.58,4720000.0,-0.0034999999999999996
44,09/04/2019,96291.79,97366.05,97366.05,95487.57,3850000.0,-0.0111
45,08/04/2019,97369.29,97110.05,97610.25,96742.91,3540000.0,0.0027
46,05/04/2019,97108.17,96319.32,97493.1,96152.08,3800000.0,0.0083
47,04/04/2019,96313.06,94502.6,96393.56,94333.95,4210000.0,0.019299999999999998
48,03/04/2019,94491.48,95392.32,96442.31,94124.4,4440000.0,-0.009399999999999999
49,02/04/2019,95386.76,96062.1,96690.17,94824.93,3830000.0,-0.006999999999999999
50,01/04/2019,96054.45,95422.9,96751.53,95422.9,3870000.0,0.0067
51,29/03/2019,95414.55,94401.69,95862.75,94401.69,4820000.0,0.0109
52,28/03/2019,94388.94,91900.6,94853.71,91584.26,5350000.0,0.027000000000000003
53,27/03/2019,91903.4,95297.25,95297.25,91903.4,5900000.0,-0.035699999999999996
54,26/03/2019,95306.82,93668.27,95524.7,93668.27,4800000.0,0.0176
55,25/03/2019,93662.01,93735.41,94383.78,93103.15,4650000.0,-0.0008
56,22/03/2019,93735.15,96724.71,96724.71,93379.64,6190000.0,-0.031
57,21/03/2019,96729.08,98041.14,98045.97,95456.28,5490000.0,-0.0134
58,20/03/2019,98041.37,99588.47,99707.96,97980.93,4780000.0,-0.0155
59,19/03/2019,99588.37,99990.91,100438.87,99372.87,5390000.0,-0.0040999999999999995
60,18/03/2019,99993.92,99141.49,100037.69,99141.43,4330000.0,0.0086
61,15/03/2019,99136.74,98604.99,99393.33,98597.33,5300000.0,0.0054
62,14/03/2019,98604.67,98904.72,99035.54,97775.83,3700000.0,-0.003
63,13/03/2019,98903.88,97831.23,99267.22,97464.1,4960000.0,0.011000000000000001
64,12/03/2019,97828.03,98038.1,98149.69,97266.94,3950000.0,-0.002
65,11/03/2019,98026.62,95384.46,98026.62,95384.46,4380000.0,0.0279
66,08/03/2019,95364.85,94340.17,95475.68,93304.76,4179999.9999999995,0.0109
67,07/03/2019,94340.17,94216.25,94532.25,93728.95,4230000.0,0.0013
68,06/03/2019,94216.87,94603.63,94889.38,93945.46,2800000.0,-0.0040999999999999995
69,01/03/2019,94603.75,95584.35,96113.18,94393.59,4179999.9999999995,-0.0103
70,28/02/2019,95584.35,97307.38,97528.01,95364.39,5530000.0,-0.0177
71,27/02/2019,97307.31,97602.5,97781.81,96885.98,3990000.0,-0.003
72,26/02/2019,97602.5,97242.44,97903.97,97235.48,3660000.0,0.0037
